intial,intial2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,"Grand Total"
Applicant," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"From State"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"From Utility"," ","KAVIT INDUSTRIES_BEVOOR",PSOMACHANDRA_CHIKKASUGUR,"EKIALDE SUN_CHINCHOLI",SATYADEEPTHA_CHITAGUPPA,"VOORA ENERGY_DHADESUGUR",AVAADA_KEMBHAVI,"MARVEL SOLREN_JANAWADA","CLEAN SOLAR_KANAKAGIRI",TALETTUTAYI(KEREHALLI),"SHAHI EXPORTS_KOLHAR",HINDUJA_MALLAT,"ADANI GREEN_MANDEVAL","BIDAR SOLAR_BEMAKHED","CLEAN SOLAR_MARAGUTTI","REJIYA SALEEM_MORAGERE","WARDHA SOLAR _SHAHPUR220","CLEAN SOLAR_ PD HALLI","RENEW WIND_SAIDAPUR","CLEAN SOLAR_SANTHPUR","RENEW WIND_SANTAPUR","WARDHA SOLAR_NALWAR",ABHIMAANI_TEKALKOTE,"CLEAN SOLAR_TURVIHAL","MATRIX GREEN_VALKAMDINI","MATRIX GREEN_WADEGERA","CLEAN SOLAR_NALWARA","RENEW WIND_WADEGERA","CLEAN SOLAR_WADGERA",EASTMAN_YELBURGA,"MADHAV SOLAR_BEVOOR","MYTRAH AKSHAY_HIDKAL",TUNGABHADRA_MANTUR,"KN SINDHAGI_DEVARHIPPARG",FPEL_TALIKOTI,SUZLON_BENEHALLI,SUZLON_HIREHADAGALI,SUZLON(NICHAPUR)_KOTTUR,"SUZLON GUJARAT_KUSHTAGI",LATUR_LINGASUGUR,JODHPUR_MADIYAL,"SUZLON _SINDHANOOR 220","PUGALUR_SINDHANOOR 220",BIJAPUR_RE_UJJINI,GAMESA_VADAVATTI,"GAMESA MANVIWIND_KAVITAL",PRATHIJNA_NAVALI,"GLOBAL TECK_CHIKKABANAGE","SHRI KESHAV_BETAGERA","RENEW WIND_CHINCHOLI","RENEW SAUR_ITTAGI",EMBASSY_ITTAGI,AMPSOLAR_MALLAT,"RENEW SAUR_MASKI","RENEW WINDK4_NIRNA","SHORAPUR SOLAR_KEMBHAVI","RENEW AGNI_TEKALKOTE",BEML_HANUMASAGAR,GAMESHA_HATTI,"SUZLON and KREDL_ITAGI",SUZLON_KURGOD,SOLARSYS_BANAVIKAL,"ACME SANDUR_CHORNUR",ORANGEMAMATKED_GURMITKAL,OSTROCHIKMYAGERI_KUSTAGI,"SHARADA CONSTRU_SANTAPUR",ECOREN_NAVALI,RENEW_NIRNA,TARUN_KADAGANCHI,"CLEAN MANVISOLAR_KAVITAL",GREENINFRA_VENKATAGIRI,RADIANCE_BENNUR_SOLAR,RADIANCE_GOOGAL,CYCLIC_KUDLIGI_W,GESCOM_KPTCL,RENEW_KUDLIGI_S,RENEW_KUDLIGI_W,AMPYR_SULEKAL,"ES SOLAR_MANNALLI",PARAMPUJYA_SHORAPUR,"RELIANCE JIO_DUBALGUNDI",CYCLIC_KUDLIGI_S,ALPUR_KARAJAGI,"ECOREN VENTI_HANUR","ISHARAYS ENERGY_BETAGERA",""
"To State"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"To Utility","  ",GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,""
"IR Link","  ",GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-BES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-HES,GES-GES,GES-BES,GES-GES,GES-GES,GES-BES,GES-GES,GES-BES,GES-GES,GES-GES,GES-GES,GES-HES,GES-GES,GES-GES,GES-CES,HES-GES,HES-GES,HES-GES,GES-GES,GES-BES,GES-GES,GES-GES,GES-GES,HES-HES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,BES-BES,GES-GES,GES-BES,GES-GES,GES-GES,GES-GES,GES-GES,GES-HES,GES-CES,GES-HES,CES-CES,GES-GES,GES-GES,GES-GES,GES-GES,GES-HES,GES-GES,GES-GES,GES-GES,GES-BES,GES-BES,GES-BES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,HES-BES,GES-GES,GES-GES,GES-GES,GES-GES,CES-CES,GES-GES,""
Type,"  ",SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,WIND,WIND,WIND,WIND,SOLAR,SOLAR,WIND,WIND,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,WIND,SOLAR,SOLAR,WIND,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,""
"Appr. No"," ","KAVIT INDUSTRIES_BEVOOR_01",PSOMA_CIKKASUGUR_01,"	EKIALDE SUN_CHINCHOLI_01",SATYADEEPTHA_CHITAGUPPA_01,VOORA_DHADESUGUR_01,AVAADA_KEMBHAVI_01,"MARVEL SOLREN_JANAWADA_01","CLEAN SOLAR_KANAKAGIRI_01","	TALETTUTAYI(KEREHALLI)_01","SHAHI EXPORTS_KOLHAR_01",HINDUJA_MALLAT_01,ADANI_MANDEVAL_01,"BIDAR SOLAR_BEMAKHED_01","CLEAN SOLAR_MARAGUTTI_01",REJIYA_MORAGERE_01,"WARDHA SOLAR_SHAHPUR220_01","CLEAN SOLAR_ P D HALLI_01","RENEW WIND_SAIDAPUR_01","CLEAN SOLAR_SANTAPUR_01","RENEW WIND_SANTAPUR_01","WARDHA SOLAR_NALWAR_01",ABHIMAANI_TEKALKOTE_01,"CLEAN SOLAR_TURVIHAL_01","MATRIX GREEN _VALKAMDINI","MATRIX GREEN _WADEGERA_01","CLEAN  SOLAR_NALWAR_01","RENEW WIND_WADEGERA_01","CLEAN SOLAR_WADEGERA_01",EASTMAN_YEL_01,"MADHAV SOLAR_BEVOOR_01","MYTRAH AKSHAYA_HIDIKAL_01",TUNGABHADRA_MANTUR_01,"KN SINDHAGI_DEVARHIPPARGI_01",FPEL_TALIKOTI_01,SUZLON_BENEHALLI_01,SUZ_HIREHADAGALI_01,SUZ_KOTTUR_01,"SUZLON GUJARAT_KUSHTAGI_01",LATUR_LINGASUGUR_01,JODHPUR_MADIYAL_01,SUZ_SINDHANOOR_01,PUGALUR_01,BIJAPUR_RE_UJJINI_01,GAMESA_VADAVATTI_01,GAMESA_KAVITAL_01,PRATHIJNA_NAVALI_01,"GLOBAL TECH_CHIKKABANAGERE_01","SHRI KESHAV_BETAGERA_03","RENEW WIND_CHINCHOLI_01","RENEW SAUR_ITTAGI_01",EMBASSY_ITTAGI_01,AMP_MALLAT_01,"RENEW SAUR_MASKI_01","	RENEW WINDK4_NIRNA_01","SHORAPUR SOLAR_KEMBHAVI_01"," RENEW AGNI_TEKALKOTE_01",SHIVA_HANUMASAGAR_01,"GAMESA HATTI WIND 01",SUZLON_KREDL_ITAGI_01,SUZ_KURGOD_01,SOLARSYS_BANAVEKAL_01,"	ACME SANDUR_CHORNUR_01",GAMESA_GURUMITKAL_01,OSTRO_KUSHTAGI_01,SHARADA_SANTAPUR_011,"	ECOREN_NAVALI_01","	RENEW_NIRNA_01","	TARUN_KADAGANCHI_01","CLEAN WIND_KAVITHAL_01",GREENINFRA_VENKATAGIRI_01,"RADIANCE_BENNUR_SOLAR 01",RADIANCE_GOOGAL_01,"CYCLIC ENERGY_KUDLIGI_01",GESCOM_01,RENEW_KUDLIGI_S_01,RENEW_KUDLIGI_W_01,"AMPYR ENERGY_SULEKAL_01","	ES SOLAR_MANNALLI_01",PARAMPUJYA_SHORAPUR_01,"RELIANCE JIO_DUBALGUNDI_01",CYCLIC_KUDLIGI_S_01,ALPUR_KARAJAGI_01,"ECOREN VENTI_HANUR_01","ISHARAYS ENERGY_BETAGERA_01",""
"Time Block","Time Desc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GRAND TOTAL"
1,00:00-00:15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75,4.29,2.45,36.88,7.20,6.00,2.64,10.86,2.56,19.21,5.00,2.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,5.97,5.73,4.20,0.00,0.00,16.46,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.06,0.00,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153.96
